2458951.3300	9.2
2458951.3403	8.6
2458951.3500	8.9
2458951.3500	8.7
2458951.3750	8.8
2458951.3750	9.2
2458951.4000	9
2458951.4000	9.7
2458951.4000	8.6
2458951.4200	9.1
2458951.4240	9.1
2458951.4310	8.8
2458951.4354	8.8
2458951.4380	8.9
2458951.5729	8.8
2458951.6000	8.5
2458951.6059	8.4
2458952.2882	8.8
2458952.2986	8.9
2458952.3389	8.8
2458952.3417	8.8
2458952.3472	8.6
2458952.3700	9
2458952.3806	8.8
2458952.4201	8.5
2458953.3000	8.1
2458953.3300	8.7
2458953.3319	8.8
2458953.4056	8.8
2458953.4181	8.7
2458953.4778	9.1
2458953.5521	8.8
2458953.7646	8.9
2458954.3000	8.8
2458954.3100	8.8
2458954.3222	8.8
2458954.3472	8.7
2458954.3958	9.4
2458954.4000	8.7
2458954.4000	8.3
2458954.4583	8.95
2458954.5597	9
2458954.6688	8.6
2458955.3326	9
2458955.3650	8.7
2458955.3795	9.1
2458955.3819	8.7
2458955.3920	8.9
2458955.3944	8.85
2458955.4000	8.8
2458955.4028	8.9
2458955.4306	8.7
2458955.6000	9.2
2458955.6181	8.9
2458955.6278	9.1
2458955.7667	8.8
2458956.2882	8.9
2458956.3521	8.9
2458956.3778	8.6
2458956.3882	8.9
2458956.4069	9.1
2458956.4098	9.1
2458956.4403	8.7
2458956.5760	8.9
2458957.4028	8.9
2458957.4167	9.2
2458957.4493	8.87
2458958.3361	9.1
2458958.3689	9.1
2458958.3944	9.1
2458958.4000	8.8
2458958.5840	9.1
2458958.5896	9.15
2458958.5921	8.6
2458958.6424	9.2
2458959.3000	9.1
2458959.3090	9.1
2458959.3300	8.7
2458959.3333	9.1
2458959.3368	8.8
2458959.3493	9.5
2458959.3570	9.2
2458959.3700	9.3
2458959.3780	9.2
2458959.3800	9.3
2458959.4063	8.9
2458959.6028	8.95
2458959.6028	9.4
2458959.6944	9.4
2458959.8785	8.9
2458960.3139	9
2458960.3500	8.8
